ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,atingiu_pv,defasagem,fase_ideal,matematica,portugues,ingles,escola,status_ativo
RA-173,Aluno-173,2023,FASE 5,5L,17.0,Masculino,2019.0,Privada - Programa de Apadrinhamento,Ametista,7.757466667,5.0,8.1,8.5,9.2,6.26,8.125,7.8775,,-2.0,,9.0,6.2,9.2,,
RA-173,Aluno-173,2024,8F,8F,18.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,,10.0,,0.0,,,,,,0.0,,,,,Faculdade FIAP,Cursando
RA-174,ALUNO-174,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-174,Aluno-174,2022,4,P,15.0,Menina,2019.0,Escola Pública,Ágata,6.075,5.0,4.4,6.2,7.9,7.5,,6.042,Não,-1.0,,4.0,5.3,3.8,,
RA-174,Aluno-174,2023,FASE 4,4L,16.0,Feminino,2019.0,Pública,Agata,6.1242,5.0,5.1,5.6,7.9,5.0,7.5,7.2125,,-2.0,,3.7,7.3,4.3,,
RA-175,ALUNO-175,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-175,ALUNO-175,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-175,Aluno-175,2022,4,P,15.0,Menina,2018.0,Rede Decisão,Ágata,6.75,5.0,5.9,9.2,8.3,5.6,,5.833,Não,-1.0,,4.7,7.2,5.9,,
RA-175,Aluno-175,2023,FASE 5,5L,,Feminino,2018.0,Privada - Programa de Apadrinhamento,Agata,6.569516667,5.0,4.8,9.2,8.8,2.52,7.1875,7.085,,-1.0,,5.0,5.0,4.5,,
RA-175,Aluno-175,2024,6L,6L,17.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.024136842133334,5.0,8.5,9.473684210666667,10.002,6.26,7.5,7.766,,-1.0,,9.5,6.5,9.5,Colégio Arco Íris Evolução,Cursando
RA-176,ALUNO-176,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-176,ALUNO-176,2021,2.0,I,,,,Escola Pública,Ágata,5.674,5.0,4.3,6.3,7.5,5.0,6.7,5.7,Não,-1.0,,,,,,
RA-176,Aluno-176,2022,3,A,13.0,Menina,2018.0,Rede Decisão,Topázio,8.427,10.0,6.9,9.1,9.6,5.6,,9.083,Sim,0.0,,5.1,6.8,8.7,,
RA-176,Aluno-176,2023,FASE 4,4A,14.0,Feminino,2018.0,Privada - Programa de Apadrinhamento,Topázio,8.316833333,10.0,8.0,9.5,9.6,2.52,8.125,9.0025,,0.0,,7.3,7.3,9.3,,
RA-176,Aluno-176,2024,5C,5C,15.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.828632575733334,10.0,8.833333333333334,9.545454545333333,9.585,6.26,8.59375,8.545,,1.0,,9.0,8.0,9.5,Colégio Arco Íris Evolução,Cursando
RA-177,ALUNO-177,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-177,ALUNO-177,2021,0.0,L,,,,Escola Pública,Ametista,7.196,10.0,4.6,8.3,9.0,7.5,6.9,6.3,Não,0.0,,,,,,
RA-177,Aluno-177,2022,3,A,13.0,Menina,2022.0,Escola Pública,Ametista,7.424,10.0,6.8,8.8,7.9,4.4,,6.958,Não,0.0,,6.0,7.5,,,
RA-178,ALUNO-178,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-178,ALUNO-178,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-178,Aluno-178,2022,3,A,13.0,Menina,2016.0,Rede Decisão,Ágata,7.025,10.0,6.3,8.8,0.0,4.4,,8.458,Sim,0.0,,6.2,5.3,7.3,,
RA-178,Aluno-178,2023,FASE 4,4A,,Feminino,2016.0,Privada - Programa de Apadrinhamento,Ametista,7.406658333,10.0,5.9,8.7,7.9,2.52,7.65625,8.42,,0.0,,6.3,5.8,5.5,,
RA-178,Aluno-178,2024,5A,5A,16.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Ametista,7.234168831200001,10.0,4.166666666666667,8.739177489333334,9.585,6.26,7.625,6.53,,0.0,,2.5,2.5,7.5,Colégio Arco Íris Evolução,Cursando
RA-179,ALUNO-179,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-179,ALUNO-179,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-179,Aluno-179,2022,3,A,12.0,Menino,2022.0,Escola Pública,Ametista,7.993,10.0,6.1,9.2,7.5,7.5,,8.042,Não,0.0,,3.7,6.7,8.0,,
RA-179,Aluno-179,2023,FASE 3,3A,12.0,Masculino,2022.0,Pública,Topázio,8.437641667,10.0,6.4,9.4,8.8,7.52,8.59375,8.9225,,0.0,,8.7,6.3,4.3,,
RA-179,Aluno-179,2024,4A,4A,13.0,Masculino,2022.0,Privada,Topázio,8.932712280733334,10.0,8.166666666666666,9.407894737,9.168,9.38,8.75,8.44,,1.0,,7.0,8.0,9.5,Recanto Betânia Centro Educacional,Cursando
RA-18,ALUNO-18,2021,4.0,F,,,,Escola Pública,Ágata,5.666,5.0,5.3,3.3,10.0,6.3,7.7,5.2,Não,-1.0,,,,,,
RA-18,Aluno-18,2022,7,D,19.0,Menino,2022.0,Escola Pública,Ametista,7.226,5.0,9.0,8.7,6.3,6.3,,6.875,Não,-1.0,,9.0,9.0,,,
RA-180,ALUNO-180,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-180,ALUNO-180,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-180,Aluno-180,2022,3,A,12.0,Menino,2018.0,Rede Decisão,Topázio,8.442,10.0,8.1,8.3,9.2,6.3,,8.625,Sim,0.0,,7.7,8.3,8.3,,
RA-180,Aluno-180,2023,FASE 4,4A,13.0,Masculino,2018.0,Privada - Programa de Apadrinhamento,Topázio,8.283216667,10.0,8.0,9.4,9.2,2.52,8.4375,8.92,,1.0,,8.3,7.3,8.5,,
RA-180,Aluno-180,2024,5A,5A,14.0,Masculino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.801463636333335,10.0,8.5,9.431818181666666,9.168,7.51,8.125,8.674,,2.0,,9.0,8.5,8.0,Colégio Arco Íris Evolução,Cursando
RA-181,ALUNO-181,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-181,ALUNO-181,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-181,Aluno-181,2022,3,A,13.0,Menina,2019.0,Rede Decisão,Topázio,8.623,10.0,6.8,9.5,9.2,8.8,,8.458,Sim,0.0,,6.8,7.3,6.2,,
RA-181,Aluno-181,2023,FASE 4,4A,,Feminino,2019.0,Privada - Programa de Apadrinhamento,Ametista,7.671208333,10.0,6.8,8.3,9.6,2.52,7.96875,8.2525,,0.0,,8.3,6.5,5.5,,
RA-181,Aluno-181,2024,5A,5A,15.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Ametista,7.439841414133334,10.0,4.333333333333333,8.737373737333334,7.5,6.26,7.625,8.436,,0.0,,0.0,7.5,5.5,Colégio Arco Íris Evolução,Cursando
RA-182,ALUNO-182,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-182,ALUNO-182,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-182,Aluno-182,2022,3,A,16.0,Menina,2021.0,Escola Pública,Ágata,6.328,2.5,4.1,8.0,7.5,7.5,,6.958,Não,-3.0,,1.3,5.7,5.4,,
RA-183,ALUNO-183,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-183,Aluno-183,2022,3,A,13.0,Menina,2022.0,Escola Pública,Ametista,7.3,10.0,3.8,8.8,8.3,7.5,,7.25,Não,0.0,,0.0,7.5,,,
RA-183,Aluno-183,2023,FASE 3,3D,14.0,Feminino,2022.0,Pública,Ametista,7.586241667,5.0,7.7,9.7,7.9,2.52,7.96875,8.795,,-1.0,,7.0,8.0,8.2,,
RA-183,Aluno-183,2024,4A,4A,15.0,Feminino,2022.0,Pública,Topázio,8.266902371533334,10.0,7.5,9.249011857666666,7.917,6.26,8.25,8.372,,0.0,,5.0,7.5,10.0,EE Mario Francisco de Amorim,Cursando
RA-184,ALUNO-184,2021,2.0,I,,,,Escola Pública,Ametista,7.896,10.0,5.6,9.2,8.5,7.5,7.5,8.0,Não,0.0,,,,,,
RA-184,Aluno-184,2022,3,A,16.0,Menino,2019.0,Escola Pública,Ametista,7.28,2.5,7.2,7.7,8.8,7.5,,8.0,Não,-3.0,,5.0,7.3,9.3,,
RA-184,Aluno-184,2023,FASE 4,4B,13.0,Masculino,2019.0,Pública,Topázio,8.430241667,10.0,7.1,9.5,7.9,7.52,8.59375,8.5025,,1.0,,7.3,6.3,7.8,,
RA-184,Aluno-184,2024,5D,5D,14.0,Masculino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.471456704266666,10.0,8.166666666666666,8.696741854666667,8.751,6.26,7.96875,9.004,,1.0,,9.5,5.0,10.0,Colégio Arco Íris Evolução,Cursando
RA-185,ALUNO-185,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-185,ALUNO-185,2021,0.0,M,,,,Escola Pública,Ametista,7.906,10.0,5.4,10.0,8.0,7.5,7.2,7.8,Não,0.0,,,,,,
RA-185,Aluno-185,2022,3,A,15.0,Menino,2021.0,Escola Pública,Ágata,6.615,5.0,4.5,7.7,7.9,7.5,,6.875,Não,-2.0,,3.3,5.7,4.5,,
RA-186,ALUNO-186,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-186,Aluno-186,2022,3,A,13.0,Menina,2019.0,Escola Pública,Ametista,7.832,10.0,6.6,8.5,8.3,7.5,,7.5,Não,0.0,,6.0,5.7,8.0,,
RA-186,Aluno-186,2023,FASE 4,4A,,Feminino,2019.0,Privada,Ametista,7.817541667,10.0,6.9,9.7,7.5,2.52,7.96875,8.46,,0.0,,6.8,7.0,7.0,,
RA-186,Aluno-186,2024,5B,5B,15.0,Feminino,2021.0,Privada,Topázio,8.325963636333334,10.0,7.166666666666667,9.640151515,7.917,6.26,8.125,8.672,,1.0,,6.0,7.0,8.5,Colégio Nogueira e Sonho de Criança,Cursando
RA-187,ALUNO-187,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-187,Aluno-187,2022,3,A,12.0,Menina,2019.0,Rede Decisão,Ametista,7.928,10.0,5.8,8.9,8.8,7.5,,7.917,Não,0.0,,5.3,7.2,4.8,,
RA-187,Aluno-187,2023,FASE 3,3D,13.0,Feminino,2019.0,Privada - Programa de Apadrinhamento,Ametista,7.809875,10.0,6.9,9.9,7.5,2.52,7.96875,8.255,,0.0,,7.3,8.7,4.7,,
RA-187,Aluno-187,2024,4C,4C,14.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.568424074066666,10.0,7.833333333333333,9.537037037,8.751,5.635,8.4375,9.06,,0.0,,7.5,7.0,9.0,Colégio Arco Íris Evolução,Cursando
RA-188,ALUNO-188,2021,3.0,C,,,,Escola Pública,Ágata,6.435,5.0,4.7,5.8,7.1,7.5,8.1,7.8,Não,-1.0,,,,,,
RA-188,Aluno-188,2022,3,A,14.0,Menino,2021.0,Escola Pública,Quartzo,5.307,5.0,2.7,6.1,0.0,7.5,,7.583,Não,-1.0,,3.0,3.2,2.0,,
RA-189,ALUNO-189,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-189,Aluno-189,2022,3,A,14.0,Menino,2018.0,Rede Decisão,Ametista,7.629,5.0,7.2,9.7,10.0,5.0,,7.333,Não,-1.0,,6.3,7.2,8.0,,
RA-189,Aluno-189,2023,FASE 4,4A,14.0,Masculino,2018.0,Privada - Programa de Apadrinhamento,Ametista,7.727325,10.0,6.5,9.4,7.9,2.52,8.28125,8.3775,,0.0,,6.3,6.5,6.7,,
RA-189,Aluno-189,2024,5A,5A,15.0,Masculino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.586533333333334,10.0,8.166666666666666,10.0,10.002,6.255,6.875,8.2,,0.0,,7.0,7.5,10.0,Colégio Arco Íris Evolução,Cursando
RA-19,ALUNO-19,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-19,ALUNO-19,2021,2.0,C,,,,Escola Pública,Ágata,6.751,5.0,4.6,6.3,9.0,7.5,7.7,8.3,Não,-1.0,,,,,,
RA-19,Aluno-19,2022,7,D,19.0,Menina,2022.0,Escola Pública,Ametista,7.665,5.0,8.0,9.5,7.9,7.5,,7.0,Não,-1.0,,7.0,9.0,,,
RA-19,Aluno-19,2023,FASE 7,7A,19.0,Feminino,2022.0,Nenhuma das opções acima,Ametista,7.710866667,5.0,7.8,9.4,7.9,5.63,7.75,8.1725,,-1.0,,7.7,7.0,8.8,,
RA-19,Aluno-19,2024,8F,8F,20.0,Feminino,2022.0,Privada *Parcerias com Bolsa 100%,,,10.0,,0.0,,,,,,0.0,,,,,Universidade Santo Amaro (UNISA),Cursando
RA-190,ALUNO-190,2021,,,,,,,,,,,,,,,,,,,,,,,
