ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,atingiu_pv,defasagem,fase_ideal,matematica,portugues,ingles,escola,status_ativo
RA-1636,Aluno-1636,2024,8E,8E,20.0,Feminino,2021.0,Privada,,,10.0,,0.0,,,,,,0.0,,,,,Colégio Albert Einstein,Cursando
RA-1637,Aluno-1637,2024,9,9,23.0,Masculino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Faculdade (FIAP),Cursando
RA-1638,Aluno-1638,2024,9,9,22.0,Feminino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1639,Aluno-1639,2024,9,9,21.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-164,ALUNO-164,2021,2.0,C,,,,Escola Pública,Ametista,7.125,10.0,5.9,5.8,9.5,7.5,7.5,6.7,Não,0.0,,,,,,
RA-164,Aluno-164,2022,4,L,16.0,Menino,2018.0,Escola Pública,Ágata,6.776,5.0,6.5,7.3,8.3,5.6,,7.208,Não,-2.0,,4.7,6.5,8.3,,
RA-164,Aluno-164,2023,FASE 5,5M,16.0,Masculino,2018.0,Privada,Quartzo,5.638666667,5.0,5.8,8.2,0.0,2.52,6.875,6.9625,,-1.0,,6.0,4.2,7.3,,
RA-164,Aluno-164,2024,5L,5L,17.0,Masculino,2021.0,Privada,Agata,6.837125731066667,5.0,5.666666666666667,8.084795321666666,9.585,6.26,6.25,6.886666667,,-2.0,,6.0,2.0,9.0,Colégio Nogueira e Sonho de Criança,Cursando
RA-1640,Aluno-1640,2024,9,9,23.0,Feminino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Universidade Estácio de Sá,Cursando
RA-1641,Aluno-1641,2024,9,9,21.0,Masculino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Universidade Santo Amaro (UNISA),Cursando
RA-1642,Aluno-1642,2024,9,9,23.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1643,Aluno-1643,2024,9,9,22.0,Masculino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Faculdade (FIAP),Cursando
RA-1644,Aluno-1644,2024,9,9,21.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1645,Aluno-1645,2024,9,9,23.0,Masculino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Faculdade (FIAP),Cursando
RA-1646,Aluno-1646,2024,9,9,21.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1647,Aluno-1647,2024,9,9,22.0,Feminino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Universidade Santo Amaro (UNISA),Cursando
RA-1648,Aluno-1648,2024,9,9,22.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1649,Aluno-1649,2024,9,9,23.0,Masculino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Faculdade (FIAP),Cursando
RA-165,ALUNO-165,2021,1.0,R,,,,Escola Pública,Ametista,7.579,5.0,7.3,7.5,10.0,7.5,8.3,7.7,Não,-2.0,,,,,,
RA-165,Aluno-165,2022,4,L,14.0,Menina,2017.0,Rede Decisão,Topázio,8.063,10.0,7.6,9.8,7.1,5.6,,7.5,Não,0.0,,5.3,7.8,9.7,,
RA-165,Aluno-165,2023,FASE 5,5M,,Feminino,2017.0,Privada - Programa de Apadrinhamento,Ametista,7.583433333,10.0,7.3,9.2,6.7,2.52,8.125,7.795,,0.0,,7.3,6.2,8.3,,
RA-165,Aluno-165,2024,5L,5L,16.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.4627502436,10.0,8.5,9.431042884999998,7.5,7.51,7.96875,7.893333333,,0.0,,10.0,7.5,8.0,Colégio Arco Íris Evolução,Cursando
RA-1650,Aluno-1650,2024,9,9,22.0,Masculino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Faculdade (FIAP),Cursando
RA-1651,Aluno-1651,2024,9,9,22.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1652,Aluno-1652,2024,9,9,22.0,Feminino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Faculdade (FIAP),Cursando
RA-1653,Aluno-1653,2024,9,9,20.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1654,Aluno-1654,2024,9,9,22.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1655,Aluno-1655,2024,9,9,21.0,Feminino,2022.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Faculdade (FIAP),Cursando
RA-1656,Aluno-1656,2024,9,9,22.0,Masculino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1657,Aluno-1657,2024,9,9,20.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1658,Aluno-1658,2024,9,9,21.0,Masculino,2021.0,Privada,INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Faculdade (FIAP),Cursando
RA-1659,Aluno-1659,2024,9,9,21.0,Masculino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-166,ALUNO-166,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-166,ALUNO-166,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-166,Aluno-166,2022,4,L,14.0,Menino,2020.0,Escola Pública,Topázio,8.253,10.0,8.1,9.0,9.2,6.3,,7.542,Não,0.0,,7.0,7.2,10.0,,
RA-166,Aluno-166,2023,FASE 5,5L,,Masculino,2020.0,Privada - Programa de Apadrinhamento,Topázio,8.105583333,10.0,8.1,8.9,7.5,6.26,8.4375,7.4625,,0.0,,7.0,7.2,10.0,,
RA-166,Aluno-166,2024,7E,7E,16.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,Topázio,8.243183333333334,10.0,8.266666666666667,9.246,8.334,6.5725,7.5,7.5,,1.0,,8.2,7.8,8.8,FIAP School - SP,Cursando
RA-1660,Aluno-1660,2024,9,9,24.0,Feminino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-1661,Aluno-1661,2024,9,9,21.0,Feminino,2021.0,Bolsista Universitário *Formado (a),INCLUIR,,10.0,,0.0,,,,,,1.0,,,,,Bolsista Universitário *Formado (a),Cursando
RA-167,ALUNO-167,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-167,ALUNO-167,2021,1.0,A,,,,Escola Pública,Ametista,7.639,5.0,5.8,9.2,10.0,7.5,7.5,8.3,Não,-1.0,,,,,,
RA-167,Aluno-167,2022,4,P,16.0,Menina,2018.0,Rede Decisão,Ametista,7.798,5.0,7.9,9.7,9.2,5.6,,7.833,Não,-2.0,,9.3,8.0,6.3,,
RA-167,Aluno-167,2023,FASE 5,5L,,Feminino,2018.0,Privada - Programa de Apadrinhamento,Ametista,7.806141667,5.0,7.9,9.9,8.8,5.0,7.96875,7.8375,,-2.0,,8.3,7.2,8.3,,
RA-167,Aluno-167,2024,6L,6L,18.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.033470175466666,5.0,8.166666666666666,9.473684210666667,8.751,6.26,8.375,8.334,,-1.0,,8.0,6.5,10.0,Colégio Arco Íris Evolução,Cursando
RA-168,ALUNO-168,2021,2.0,R,,,,Escola Pública,Quartzo,3.524,5.0,2.5,1.7,0.0,5.6,7.5,4.4,Não,-1.0,,,,,,
RA-168,Aluno-168,2022,4,P,15.0,Menina,2018.0,Rede Decisão,Ágata,6.917,5.0,5.9,8.3,7.9,6.3,,7.083,Não,-1.0,,4.7,8.2,5.0,,
RA-168,Aluno-168,2023,FASE 5,5L,15.0,Feminino,2018.0,Privada - Programa de Apadrinhamento,Agata,6.483083333,10.0,4.7,9.6,0.0,6.89,6.5625,6.4225,,0.0,,4.3,3.0,6.7,,
RA-169,ALUNO-169,2021,0.0,I,,,,Escola Pública,Ametista,6.898,5.0,6.1,10.0,8.5,4.4,5.3,6.8,Não,-1.0,,,,,,
RA-169,Aluno-169,2022,4,P,15.0,Menina,2018.0,Escola Pública,Quartzo,5.159,5.0,3.2,5.1,7.5,6.3,,4.792,Não,-1.0,,1.3,4.5,3.8,,
RA-17,ALUNO-17,2021,1.0,G,,,,Escola Pública,Ágata,6.14,5.0,2.6,4.2,9.5,7.5,8.4,8.8,Não,-2.0,,,,,,
RA-17,Aluno-17,2022,7,D,20.0,Menino,2022.0,Escola Pública,Topázio,8.068,5.0,7.8,10.0,8.8,7.5,,8.292,Não,-1.0,,9.0,6.5,,,
RA-17,Aluno-17,2023,FASE 8,8E,,Masculino,2022.0,Privada - Pagamento por *Empresa Parceira,,,10.0,,,,,,,,0.0,,,,,,
RA-17,Aluno-17,2024,8E,8E,22.0,Masculino,2022.0,Privada - Pagamento por *Empresa Parceira,,,10.0,,0.0,,,,,,0.0,,,,,Faculdade FIAP,Cursando
RA-170,ALUNO-170,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-170,ALUNO-170,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-170,Aluno-170,2022,4,P,14.0,Menina,2018.0,Rede Decisão,Ágata,7.007,10.0,4.9,9.2,8.3,5.6,,5.792,Não,0.0,,3.7,6.7,4.3,,
RA-170,Aluno-170,2023,FASE 3,3P,15.0,Feminino,2018.0,Privada - Programa de Apadrinhamento,Ametista,7.062433333,5.0,7.2,8.9,8.8,2.52,6.875,7.6725,,-2.0,,6.3,8.7,6.5,,
